نوع العقار,الغرض,المدينة,الحي,الواجهة,المساحة,سعر المتر,السعر الإجمالي
أرض,سكني, الرياض , حي النرجس ,جنوبية,432,4900,2116800
أرض,سكني, الرياض , حي ظهرة لبن ,جنوبية غربية,400,2200,880000
أرض,سكني, الرياض , حي ظهرة لبن ,شمالية شرقية,900,3100,2790000
أرض,سكني, الرياض , حي المهدية ,شمالية,300,3400,1020000
أرض,سكني, الرياض , حي المونسية ,شرقية,2115,3400,7191000
أرض,سكني, الرياض , حي عرقة ,غربية,653,3400,2220200
أرض,سكني, الرياض , حي الروضة ,شمالية,1798,1500,2697000
أرض,سكني, الرياض , حي النرجس ,شمالية شرقية,1050,7500,7875000
أرض,سكني, امارة منطقة الرياض, الرياض ,شرقية,432,7500,3240000
أرض,سكني, امارة منطقة الرياض, الرياض ,شرقية,432,7500,3240000
أرض,سكني, امارة منطقة الرياض, الرياض ,شمالية,426,7500,3195000
أرض,سكني, الرياض , حي المهدية ,غربية,400,7500,3000000
أرض,سكني, الرياض , حي الرمال ,شرقية,360,2900,1044000
أرض,سكني, الرياض , حي ظهرة لبن ,جنوبية,450,2900,1305000
أرض,سكني, الرياض , حي عريض ,جنوبية غربية,500,2900,1450000
أرض,سكني, امارة منطقة الرياض, الرياض ,شرقية,450,2900,1305000
أرض,سكني, امارة منطقة الرياض, الرياض ,جنوبية غربية,1050,2900,3045000
أرض,سكني, الرياض , حي القيروان ,شمالية,900,6000,5400000
أرض,سكني, امارة منطقة الرياض, الرياض ,جنوبية,450,6000,2700000
أرض,سكني, امارة منطقة الرياض, الرياض ,غربية,516,6000,3096000
