نوع العقار,المدينة,الحي,الواجهة,عدد الغرف,عدد الصالات,عدد الحمامات,المساحة,مطبخ,مدخل سيارة,مصعد,الدور,عمر العقار,مؤثثة,السعر الاجمالي
شقة, الرياض , حي الربيع ,جنوبية,3,1,3,114,1,0,1,أرضي,0,0,1000000
شقة, الرياض , حي الياسمين ,جنوبية,3,1,3,172,1,1,0,,3,0,1250000
شقة, الرياض , حي الياسمين ,,4,1,3,154,1,0,1,أرضي,0,0,900000
شقة, الرياض , حي النرجس ,شرقية,3,2,3,137,0,0,0,أرضي,0,0,980000
شقة, منطقة الرياض, الرياض ,,3,1,4,181,1,1,1,20+,0,1,2550000
شقة, الرياض , حي القيروان ,,3,1,2,126,0,0,0,,2,0,950000
شقة, الرياض , حي النرجس ,,4,1,4,137,0,0,0,أرضي,0,0,1070000
شقة, الرياض , حي الملقا ,شرقية,3,1,3,128,1,0,0,علوي,7,0,860000
شقة, الرياض , حي العارض ,شمالية,3,1,2,120,0,0,1,أرضي,0,0,910000
شقة, الرياض , حي النرجس ,جنوبية شرقية,1,1,2,170,1,0,1,3,0,0,930000
شقة, الرياض , حي الندى ,جنوبية,3,2,3,138,1,1,1,علوي,0,0,1089000
شقة, الرياض , حي العارض ,شرقية,3,1,3,280,0,1,1,علوي,0,0,1289000
شقة, الرياض , حي القيروان ,,3,1,3,130,1,1,1,أرضي,0,1,1328465
شقة, الرياض , حي العارض ,جنوبية,3,2,2,129,1,0,1,أرضي,0,0,1000000
شقة, الرياض , حي النرجس ,,2,1,2,129,1,0,0,أرضي,0,0,830000
شقة, الرياض , حي النرجس ,ثلاث شوارع,1,,3,151,1,0,1,أرضي,0,0,900000
شقة, الرياض , حي العارض ,شرقية,3,1,3,144,0,0,0,أرضي,0,0,900000
شقة, الرياض , حي الملقا ,,3,2,3,169,0,0,1,علوي,0,0,1350000
شقة, الرياض , حي العارض ,جنوبية,4,1,4,200,0,1,0,أرضي,0,0,1200000
شقة, الرياض , حي القيروان ,شرقية,4,1,3,150,1,0,0,أرضي,0,0,1300000
شقة, الرياض , حي العارض ,,4,1,3,138,1,0,0,علوي,3,0,750000
شقة, الرياض , حي النرجس ,شمالية,3,1,3,138,1,1,1,أرضي,3,0,1200000
شقة, الرياض , حي النرجس ,جنوبية شرقية,1,1,2,170,1,0,1,3,0,0,930000
شقة, الرياض , حي النرجس ,شمالية,4,2,4,163,1,0,0,3,0,0,900000
شقة, الرياض , حي النرجس ,شمالية,4,1,3,179,1,1,1,3,0,0,1155000
شقة, الرياض , حي النفل ,شمالية,3,1,4,131,0,1,1,3,0,0,1070000
شقة, الرياض , حي الياسمين ,,2,1,3,100,1,0,0,أرضي,5,0,850000
شقة, الرياض , حي العارض ,جنوبية,4,2,4,200,1,1,1,علوي,0,0,1190000
شقة, الرياض , حي القيروان ,,3,1,3,135,1,0,1,3,3,1,1400000
شقة, الرياض , حي النرجس ,ثلاث شوارع,2,1,3,151,1,1,1,علوي,0,0,1179000
شقة, الرياض , حي العقيق ,شمالية غربية,3,1,3,162,1,1,1,3,0,0,700000
شقة, الرياض , حي العارض ,جنوبية,3,2,3,147,1,1,1,,0,0,959000
شقة, الرياض , حي النرجس ,جنوبية غربية,3,1,3,172,0,0,0,أرضي,0,0,1100000
شقة, الرياض , حي العارض ,جنوبية,3,2,3,134,1,0,0,أرضي,0,1,1200000
شقة, الرياض , حي النرجس ,,2,1,3,129,1,0,0,علوي,0,0,830000
شقة, امارة منطقة الرياض, الرياض ,,3,1,3,195,1,1,1,علوي,0,1,1199000
شقة, الرياض , حي الصحافة ,,2,1,3,142,1,1,1,,7,0,1980000
شقة, الرياض , حي الوادي ,شمالية,4,1,2,161,1,1,1,3,0,0,800000
شقة, الرياض , حي حطين ,شرقية,3,1,3,141,1,0,1,أرضي,0,0,1400000
شقة, الرياض , حي الملقا ,,3,1,3,114,0,0,0,,0,0,850000
شقة, الرياض , حي المصيف ,جنوبية,2,1,2,100,1,0,1,,2,1,1100000
شقة, الرياض , حي النرجس ,جنوبية,3,2,3,200,1,0,0,أرضي,1,0,950000
شقة, الرياض , حي التعاون ,شرقية,4,2,3,126,1,0,1,علوي,5,0,900000
شقة, الرياض , حي الندى ,جنوبية,2,1,3,109,1,0,1,أرضي,0,0,839000
شقة, منطقة الرياض, الرياض ,,3,2,3,149,1,0,1,علوي,0,0,1250000
شقة, الرياض , حي العارض ,جنوبية,2,1,2,133,0,0,1,,0,0,799000
شقة, الرياض , حي القيروان ,شمالية غربية,3,1,4,280,1,1,0,اول,0,0,1730000
شقة, الرياض , حي العارض ,شمالية,3,1,2,120,0,0,1,أرضي,0,0,910000
شقة, الرياض , حي العارض ,شرقية,2,1,3,61,1,0,0,علوي,0,0,750000
شقة, الرياض , حي الملقا ,شمالية,4,1,4,157,0,0,1,علوي,0,0,1300000
شقة, الرياض , حي الندى ,جنوبية شرقية,3,2,3,241,1,1,1,3,0,0,1429000
شقة, الرياض , حي العارض ,شمالية غربية,3,1,3,199,0,0,1,علوي,0,0,980000
شقة, الرياض , حي النرجس ,,3,1,3,131,1,0,0,أرضي,0,1,890000
شقة, الرياض , حي حطين ,شرقية,3,1,3,104,1,1,0,أرضي,0,1,1400000
شقة, الرياض , حي النرجس ,شرقية,4,2,3,144,0,0,1,علوي,0,0,1150000
شقة, الرياض , حي حطين ,,3,2,4,166,0,0,1,أرضي,0,0,1299000
شقة, الرياض , حي الملقا ,شرقية,3,1,3,169,1,0,1,أرضي,0,0,1179000
شقة, الرياض , حي العارض ,جنوبية,3,1,3,153,1,1,0,,0,1,1160000
شقة, الرياض , حي الوادي ,شمالية,4,1,2,161,1,1,1,3,0,0,800000
شقة, الرياض , حي القيروان ,شمالية,3,1,3,210,0,0,1,3,0,0,1390000
شقة, امارة منطقة الرياض, الرياض ,شمالية شرقية,3,1,3,147,0,0,0,أرضي,0,0,957000
شقة, الرياض , حي الملقا ,,3,2,3,119,1,0,0,أرضي,10,0,799000
شقة, الرياض , حي المرسلات ,,3,1,3,128,0,0,1,علوي,0,0,1400000
شقة, الرياض , حي المغرزات ,غربية,3,1,3,154,1,1,1,علوي,0,0,1179000
شقة, الرياض , حي التعاون ,شمالية,4,1,3,191,1,1,1,3,0,0,1620000
شقة, الرياض , حي النرجس ,جنوبية شرقية,3,1,4,160,0,0,1,,0,0,1100000
