نوع العقار,الحي,الواجهة,عدد الغرف,عدد الصالات,عدد الحمامات,المساحة,مطبخ,مدخل سيارة,مصعد,الدور,عمر العقار,مؤثثة,السعر الاجمالي
شقة, حي النفل ,شمالية,3,1,3,174,يوجد, لا يوجد,يوجد,غير محدد,0.0,0,850000
شقة, حي الملقا ,جنوبية شرقية,3,1,3,113,يوجد, لا يوجد,يوجد,أرضي,0.0,0,1020000
شقة, حي حطين ,شرقية,2,2,2,104,يوجد,يوجد,يوجد,4,0.0,0,715000
شقة, حي العارض ,شرقية,2,1,3,61,يوجد, لا يوجد, لا يوجد,علوي,0.0,0,750000
شقة, الرياض ,شرقية,3,1,3,163, لا يوجد, لا يوجد,يوجد,علوي,0.0,0,985000
شقة, حي النرجس ,جنوبية,2,2,3,117,يوجد, لا يوجد,يوجد,3,0.0,0,849000
شقة, حي الملقا ,شرقية,4,2,3,168,يوجد,يوجد,يوجد,علوي,0.0,0,1200000
شقة, حي النرجس ,ثلاث شوارع,1,0,3,151,يوجد, لا يوجد,يوجد,أرضي,0.0,0,900000
شقة, حي النرجس ,شمالية,3,2,5+,226,يوجد,يوجد, لا يوجد,أرضي,8.0,0,1650000
شقة, حي النرجس ,غير معروف,2,1,3,129,يوجد, لا يوجد, لا يوجد,علوي,0.0,0,830000
شقة, حي التعاون ,شمالية,3,1,3,140,يوجد, لا يوجد, لا يوجد,أرضي,4.0,0,1200000
شقة, حي النخيل ,جنوبية,3,2,5+,216,يوجد, لا يوجد,يوجد,أرضي,3.0,0,1200000
شقة, حي المغرزات ,شرقية,3,1,3,218,يوجد,يوجد,يوجد,4,0.0,0,1379000
شقة, حي العارض ,جنوبية,3,1,3,216,يوجد, لا يوجد,يوجد,أرضي,3.0,0,1180000
شقة, حي الملقا ,شرقية,1,1,3,86,يوجد,يوجد,يوجد,علوي,0.0,0,900000
شقة, حي العارض ,جنوبية,3,2,2,129,يوجد, لا يوجد,يوجد,أرضي,0.0,0,1000000
شقة, الرياض ,غير معروف,3,2,2,176,يوجد,يوجد,يوجد,علوي,1.0,0,1350000
شقة, حي النرجس ,جنوبية غربية,3,1,3,172, لا يوجد, لا يوجد, لا يوجد,أرضي,0.0,0,1100000
