,yearnumber,quarternumber,quarternamear,quarterid,region_ar,city_ar,district_ar,typecategoryar,deed_counts,RealEstatePrice_SUM,Meter_Price_W_Avg_IQR
995,2022,4,الربع الرابع,20224,منطقة الرياض,الرياض,ظهرة لبن,قطعة أرض-تجارى,34,66122352.97,2145.556331
997,2021,2,الربع الثانى,20212,منطقة الرياض,الرياض,المصانع,قطعة أرض-تجارى,28,42796068.0,1113.675345
1031,2023,1,الربع الأول,20231,منطقة الرياض,الرياض,حطين,قطعة أرض-تجارى,13,361781448.0,8442.96542
1034,2023,2,الربع الثانى,20232,منطقة الرياض,الرياض,ظهرة لبن,قطعة أرض-تجارى,38,89859524.3,2579.71711
1042,2022,3,الربع الثالث,20223,منطقة الرياض,الرياض,ظهرة لبن,قطعة أرض-تجارى,68,135897218.0,1955.470409
1043,2021,4,الربع الرابع,20214,منطقة الرياض,الرياض,ظهرة لبن,قطعة أرض-تجارى,9,165210420.0,1585.321721
1044,2021,1,الربع الأول,20211,منطقة الرياض,الرياض,ظهرة لبن,قطعة أرض-تجارى,6,13020000.0,1333.333333
1045,2022,1,الربع الأول,20221,منطقة الرياض,الرياض,ظهرة لبن,قطعة أرض-تجارى,15,28800136.0,2008.276059
1046,2018,2,الربع الثانى,20182,منطقة الرياض,الرياض,النظيم,قطعة أرض-تجارى,7,22381493.8,1908.395084
1051,2021,1,الربع الأول,20211,منطقة الرياض,الرياض,حطين,قطعة أرض-تجارى,30,575947495.0,4311.461211
1059,2022,2,الربع الثانى,20222,منطقة الرياض,الرياض,ظهرة لبن,قطعة أرض-تجارى,56,124077548.47,1968.829004
1060,2021,3,الربع الثالث,20213,منطقة الرياض,الرياض,ظهرة لبن,قطعة أرض-تجارى,8,8489437.5,1193.73259
1106,2019,2,الربع الثانى,20192,منطقة الرياض,الرياض,حطين,قطعة أرض-تجارى,15,367518780.35,4671.487388
1107,2018,3,الربع الثالث,20183,منطقة الرياض,الرياض,حطين,قطعة أرض-تجارى,10,317242360.0,2535.98259
1109,2020,2,الربع الثانى,20202,منطقة الرياض,الرياض,العليا,قطعة أرض-تجارى,8,286748000.0,10033.591731
1110,2023,2,الربع الثانى,20232,منطقة الرياض,الرياض,العليا,قطعة أرض-تجارى,7,352603070.21,6229.342909
1125,2021,4,الربع الرابع,20214,منطقة الرياض,الرياض,العليا,قطعة أرض-تجارى,6,91056068.6,8802.272747
1215,2023,2,الربع الثانى,20232,منطقة الرياض,الرياض,عرقة,قطعة أرض-تجارى,7,108793248.0,4518.837023
1216,2022,3,الربع الثالث,20223,منطقة الرياض,الرياض,عرقة,قطعة أرض-تجارى,7,179757500.0,4956.053811
1314,2020,2,الربع الثانى,20202,منطقة الرياض,الرياض,حطين,قطعة أرض-تجارى,29,836260328.4,5116.019752
1315,2019,3,الربع الثالث,20193,منطقة الرياض,الرياض,حطين,قطعة أرض-تجارى,11,332125627.5,5602.045386
1316,2018,4,الربع الرابع,20184,منطقة الرياض,الرياض,حطين,قطعة أرض-تجارى,22,310931783.0,3530.743968
1317,2018,1,الربع الأول,20181,منطقة الرياض,الرياض,حطين,قطعة أرض-تجارى,12,193309346.38,4539.65703
1339,2022,4,الربع الرابع,20224,منطقة الرياض,الرياض,عرقة,قطعة أرض-تجارى,7,40057500.0,5655.814465
4104,2020,4,الربع الرابع,20204,منطقة الرياض,الرياض,التعاون,قطعة أرض-تجارى,6,30920100.0,2374.182174
4187,2020,2,الربع الثانى,20202,منطقة الرياض,الرياض,القيروان,قطعة أرض-تجارى,47,329274430.52,3140.072311
4188,2023,2,الربع الثانى,20232,منطقة الرياض,الرياض,القيروان,قطعة أرض-تجارى,7,126232800.0,10136.632316
4189,2019,3,الربع الثالث,20193,منطقة الرياض,الرياض,القيروان,قطعة أرض-تجارى,70,632514459.83,2269.795095
4190,2022,3,الربع الثالث,20223,منطقة الرياض,الرياض,القيروان,قطعة أرض-تجارى,12,135315760.0,8069.602062
4191,2018,4,الربع الرابع,20184,منطقة الرياض,الرياض,القيروان,قطعة أرض-تجارى,22,86741369.0,2407.870382
4192,2021,4,الربع الرابع,20214,منطقة الرياض,الرياض,القيروان,قطعة أرض-تجارى,18,97322000.0,5225.389236
4193,2018,1,الربع الأول,20181,منطقة الرياض,الرياض,القيروان,قطعة أرض-تجارى,11,30062500.0,2711.627906
4194,2021,1,الربع الأول,20211,منطقة الرياض,الرياض,القيروان,قطعة أرض-تجارى,15,105324342.0,3785.68455
4195,2021,2,الربع الثانى,20212,منطقة الرياض,الرياض,القيروان,قطعة أرض-تجارى,36,193343671.98,4520.905372
4210,2019,4,الربع الرابع,20194,منطقة الرياض,الرياض,القيروان,قطعة أرض-تجارى,33,219539926.0,2919.123224
4211,2019,1,الربع الأول,20191,منطقة الرياض,الرياض,القيروان,قطعة أرض-تجارى,46,192794451.45,2131.05986
4213,2018,3,الربع الثالث,20183,منطقة الرياض,الرياض,التعاون,قطعة أرض-تجارى,7,35653000.0,3710.551395
4217,2018,4,الربع الرابع,20184,منطقة الرياض,الرياض,التعاون,قطعة أرض-تجارى,7,21330200.0,3571.791312
4219,2018,2,الربع الثانى,20182,منطقة الرياض,الرياض,القيروان,قطعة أرض-تجارى,16,206535925.0,2664.422043
6687,2020,2,الربع الثانى,20202,منطقة الرياض,الرياض,النظيم,قطعة أرض-تجارى,7,8730540.0,966.796875
6688,2019,3,الربع الثالث,20193,منطقة الرياض,الرياض,النظيم,قطعة أرض-تجارى,11,53075143.0,879.191036
6784,2022,2,الربع الثانى,20222,منطقة الرياض,الرياض,,قطعة أرض-تجارى,34,59242447.0,504.046013
6785,2019,2,الربع الثانى,20192,منطقة الرياض,الرياض,القيروان,قطعة أرض-تجارى,51,322942624.81,2202.332515
6786,2018,3,الربع الثالث,20183,منطقة الرياض,الرياض,القيروان,قطعة أرض-تجارى,23,1525304825.0,2318.589788
7839,2023,1,الربع الأول,20231,منطقة الرياض,الرياض,المصفاة,قطعة أرض-تجارى,14,31585655.38,722.114868
7840,2020,2,الربع الثانى,20202,منطقة الرياض,الرياض,المصفاة,قطعة أرض-تجارى,16,54199914.32,649.18608
7841,2023,2,الربع الثانى,20232,منطقة الرياض,الرياض,المصفاة,قطعة أرض-تجارى,19,78070696.0,798.942934
7842,2019,3,الربع الثالث,20193,منطقة الرياض,الرياض,المصفاة,قطعة أرض-تجارى,10,55043229.6,733.086002
7843,2022,3,الربع الثالث,20223,منطقة الرياض,الرياض,المصفاة,قطعة أرض-تجارى,52,133903445.59,589.983606
7844,2018,4,الربع الرابع,20184,منطقة الرياض,الرياض,المصفاة,قطعة أرض-تجارى,29,122263057.16,653.969788
7845,2021,4,الربع الرابع,20214,منطقة الرياض,الرياض,المصفاة,قطعة أرض-تجارى,95,160996884.95,550.474021
7847,2021,1,الربع الأول,20211,منطقة الرياض,الرياض,المصفاة,قطعة أرض-تجارى,22,88417338.86,505.783399
7861,2021,1,الربع الأول,20211,منطقة الرياض,الرياض,أحد,قطعة أرض-تجارى,6,3980800.0,960.855043
7868,2022,4,الربع الرابع,20224,منطقة الرياض,الرياض,,قطعة أرض-تجارى,9,19665039.0,2270.387361
7869,2019,1,الربع الأول,20191,منطقة الرياض,الرياض,,قطعة أرض-تجارى,7,11902030.0,852.557673
7871,2021,2,الربع الثانى,20212,منطقة الرياض,الرياض,المصفاة,قطعة أرض-تجارى,27,56354414.87,622.806347
7872,2020,3,الربع الثالث,20203,منطقة الرياض,الرياض,المصفاة,قطعة أرض-تجارى,37,35558704.48,626.62721
7873,2023,3,الربع الثالث,20233,منطقة الرياض,الرياض,المصفاة,قطعة أرض-تجارى,14,25200815.06,802.575764
7874,2019,4,الربع الرابع,20194,منطقة الرياض,الرياض,المصفاة,قطعة أرض-تجارى,21,152333229.98,634.196102
7875,2022,4,الربع الرابع,20224,منطقة الرياض,الرياض,المصفاة,قطعة أرض-تجارى,35,93953631.2,805.841171
7876,2019,1,الربع الأول,20191,منطقة الرياض,الرياض,المصفاة,قطعة أرض-تجارى,10,17463229.68,623.143367
8039,2021,2,الربع الثانى,20212,منطقة الرياض,الرياض,الجزيرة,قطعة أرض-تجارى,11,7434225.5,664.108618
8045,2023,2,الربع الثانى,20232,منطقة الرياض,الرياض,السعادة,قطعة أرض-تجارى,12,32993908.56,2420.9718
8046,2022,3,الربع الثالث,20223,منطقة الرياض,الرياض,السعادة,قطعة أرض-تجارى,10,16779712.0,2249.261603
