,yearnumber,quarternumber,quarternamear,quarterid,region_ar,city_ar,district_ar,typecategoryar,deed_counts,RealEstatePrice_SUM,Meter_Price_W_Avg_IQR,location
27477,2023,2,الربع الثانى,20232,منطقة الرياض,الرياض,المروة,قطعة أرض-سكنى,2,1397283.49,,جنوب الرياض
27478,2022,3,الربع الثالث,20223,منطقة الرياض,الرياض,المروة,قطعة أرض-سكنى,6,7182682.0,1558.616483,جنوب الرياض
27479,2021,4,الربع الرابع,20214,منطقة الرياض,الرياض,المروة,قطعة أرض-سكنى,12,11203220.0,1404.937783,جنوب الرياض
27480,2021,1,الربع الأول,20211,منطقة الرياض,الرياض,المروة,قطعة أرض-سكنى,21,26831897.53,1066.670993,جنوب الرياض
27481,2018,2,الربع الثانى,20182,منطقة الرياض,الرياض,الفيصلية,قطعة أرض-سكنى,12,10480342.0,875.07457,وسط الرياض
27482,2021,2,الربع الثانى,20212,منطقة الرياض,الرياض,الفيصلية,قطعة أرض-سكنى,8,5412000.0,587.349131,وسط الرياض
27483,2020,3,الربع الثالث,20203,منطقة الرياض,الرياض,الفيصلية,قطعة أرض-سكنى,6,2705000.0,1059.479738,وسط الرياض
27484,2019,4,الربع الرابع,20194,منطقة الرياض,الرياض,الفيصلية,قطعة أرض-سكنى,5,2207246.4,,وسط الرياض
27485,2019,1,الربع الأول,20191,منطقة الرياض,الرياض,الفيصلية,قطعة أرض-سكنى,7,4776087.53,281.493793,وسط الرياض
27486,2018,2,الربع الثانى,20182,منطقة الرياض,الرياض,الهدا,قطعة أرض-سكنى,3,6000000.0,,وسط الرياض
27487,2023,3,الربع الثالث,20233,منطقة الرياض,الرياض,الهدا,قطعة أرض-سكنى,2,3620000.0,,وسط الرياض
27488,2022,4,الربع الرابع,20224,منطقة الرياض,الرياض,الهدا,قطعة أرض-سكنى,5,120768919.52,,وسط الرياض
27489,2022,1,الربع الأول,20221,منطقة الرياض,الرياض,الهدا,قطعة أرض-سكنى,40,115299675.5,3644.871573,وسط الرياض
27504,2020,1,الربع الأول,20201,منطقة الرياض,الرياض,,قطعة أرض-سكنى,5,10240785.0,,Unknown
27505,2023,3,الربع الثالث,20233,منطقة الرياض,الرياض,العارض,قطعة أرض-سكنى,66,136484923.38,4070.425145,شمال الرياض
27530,2022,4,الربع الرابع,20224,منطقة الرياض,الرياض,العارض,قطعة أرض-سكنى,78,135029857.46,3711.339095,شمال الرياض
27531,2022,1,الربع الأول,20221,منطقة الرياض,الرياض,العارض,قطعة أرض-سكنى,209,344177914.34,3596.774536,شمال الرياض
27532,2022,2,الربع الثانى,20222,منطقة الرياض,الرياض,,قطعة أرض-تجارى,1,2021250.0,,Unknown
27533,2021,3,الربع الثالث,20213,منطقة الرياض,الرياض,,قطعة أرض-تجارى,1,5959347.0,,Unknown
27534,2020,2,الربع الثانى,20202,منطقة الرياض,الرياض,,قطعة أرض-تجارى,2,9200000.0,,Unknown
27535,2019,3,الربع الثالث,20193,منطقة الرياض,الرياض,,قطعة أرض-تجارى,9,59805512.0,3628.751543,Unknown
27536,2018,4,الربع الرابع,20184,منطقة الرياض,الرياض,,قطعة أرض-تجارى,3,34096020.0,,Unknown
27559,2023,3,الربع الثالث,20233,منطقة الرياض,الرياض,الملك فيصل,قطعة أرض-سكنى,8,14566683.0,2572.482649,شرق الرياض
27560,2022,4,الربع الرابع,20224,منطقة الرياض,الرياض,الملك فيصل,قطعة أرض-سكنى,20,25129196.6,2739.890998,شرق الرياض
27561,2022,1,الربع الأول,20221,منطقة الرياض,الرياض,الملك فيصل,قطعة أرض-سكنى,25,29519026.53,2480.012186,شرق الرياض
27562,2020,2,الربع الثانى,20202,منطقة الرياض,الرياض,الملك فيصل,قطعة أرض-سكنى,19,20725788.67,1964.168241,شرق الرياض
27563,2023,2,الربع الثانى,20232,منطقة الرياض,الرياض,الملك فيصل,قطعة أرض-سكنى,13,13064376.71,2585.834384,شرق الرياض
27564,2019,3,الربع الثالث,20193,منطقة الرياض,الرياض,الملك فيصل,قطعة أرض-سكنى,20,15268619.75,1320.079065,شرق الرياض
27574,2022,3,الربع الثالث,20223,منطقة الرياض,الرياض,الملك فيصل,قطعة أرض-سكنى,34,43326954.3,2492.227671,شرق الرياض
27575,2018,4,الربع الرابع,20184,منطقة الرياض,الرياض,الملك فيصل,قطعة أرض-سكنى,18,16635425.65,1708.280931,شرق الرياض
