,yearnumber,quarternumber,quarternamear,quarterid,region_ar,city_ar,district_ar,typecategoryar,deed_counts,RealEstatePrice_SUM,Meter_Price_W_Avg_IQR
19491,2020,1,الربع الأول,20201,منطقة الرياض,الرياض,الخالدية,قطعة أرض-سكنى,23,12841176.0,1140.519043
19493,2018,2,الربع الثانى,20182,منطقة الرياض,الرياض,الملك عبدالله,قطعة أرض-سكنى,9,8375193.0,2489.496292
19494,2023,3,الربع الثالث,20233,منطقة الرياض,الرياض,الملك عبدالله,قطعة أرض-سكنى,6,10639000.0,4072.727272
19495,2022,4,الربع الرابع,20224,منطقة الرياض,الرياض,الملك عبدالله,قطعة أرض-سكنى,8,22563810.71,3919.140514
19496,2022,1,الربع الأول,20221,منطقة الرياض,الرياض,الملك عبدالله,قطعة أرض-سكنى,4,8748810.0,
19497,2020,4,الربع الرابع,20204,منطقة الرياض,الرياض,,قطعة أرض-سكنى,3,2820000.0,
19498,2020,1,الربع الأول,20201,منطقة الرياض,الرياض,,قطعة أرض-سكنى,3,3380000.0,
19499,2019,2,الربع الثانى,20192,منطقة الرياض,الرياض,الخزامى,قطعة أرض-سكنى,5,4385000.0,
19500,2018,3,الربع الثالث,20183,منطقة الرياض,الرياض,الخزامى,قطعة أرض-سكنى,4,4053731.58,
19501,2019,2,الربع الثانى,20192,منطقة الرياض,الرياض,الخالدية,قطعة أرض-سكنى,3,2050000.0,
19502,2018,3,الربع الثالث,20183,منطقة الرياض,الرياض,الخالدية,قطعة أرض-سكنى,3,2410000.0,
19515,2020,2,الربع الثانى,20202,منطقة الرياض,الرياض,المشاعل,قطعة أرض-سكنى,17,15273732.65,679.295849
19516,2019,2,الربع الثانى,20192,منطقة الرياض,الرياض,المصفاة,قطعة أرض-سكنى,37,4247493.66,220.382089
19517,2018,3,الربع الثالث,20183,منطقة الرياض,الرياض,المصفاة,قطعة أرض-سكنى,45,64975768.15,481.241345
19518,2021,2,الربع الثانى,20212,منطقة الرياض,الرياض,المشاعل,قطعة أرض-سكنى,2,1380000.0,
19519,2019,4,الربع الرابع,20194,منطقة الرياض,الرياض,المشاعل,قطعة أرض-سكنى,4,2369418.0,
19520,2019,1,الربع الأول,20191,منطقة الرياض,الرياض,المشاعل,قطعة أرض-سكنى,3,5740876.0,
19521,2020,2,الربع الثانى,20202,منطقة الرياض,الرياض,المصفاة,قطعة أرض-سكنى,39,21185405.07,395.875787
19522,2023,2,الربع الثانى,20232,منطقة الرياض,الرياض,المصفاة,قطعة أرض-سكنى,86,26043499.99,456.929779
19523,2019,3,الربع الثالث,20193,منطقة الرياض,الرياض,المصفاة,قطعة أرض-سكنى,27,6560197.84,242.717621
19524,2022,3,الربع الثالث,20223,منطقة الرياض,الرياض,المصفاة,قطعة أرض-سكنى,138,203414072.45,581.234689
19525,2018,4,الربع الرابع,20184,منطقة الرياض,الرياض,المصفاة,قطعة أرض-سكنى,60,70409502.52,435.014849
19526,2021,4,الربع الرابع,20214,منطقة الرياض,الرياض,المصفاة,قطعة أرض-سكنى,126,165015926.91,481.418423
19527,2018,1,الربع الأول,20181,منطقة الرياض,الرياض,المصفاة,قطعة أرض-سكنى,11,935000.0,202.035098
19528,2021,1,الربع الأول,20211,منطقة الرياض,الرياض,المصفاة,قطعة أرض-سكنى,51,17318750.0,312.32441
19529,2018,2,الربع الثانى,20182,منطقة الرياض,الرياض,,قطعة أرض-سكنى,9,7055000.0,800.812573
19544,2023,2,الربع الثانى,20232,منطقة الرياض,الرياض,الفرسان,قطعة أرض-سكنى,18,5690000.0,386.499883
19545,2022,3,الربع الثالث,20223,منطقة الرياض,الرياض,الفرسان,قطعة أرض-سكنى,14,5725000.0,529.571466
19546,2021,4,الربع الرابع,20214,منطقة الرياض,الرياض,الفرسان,قطعة أرض-سكنى,3,860000.0,
19670,2020,2,الربع الثانى,20202,منطقة الرياض,الرياض,البديعة,قطعة أرض-سكنى,8,5273000.0,1019.266429
19671,2023,2,الربع الثانى,20232,منطقة الرياض,الرياض,البديعة,قطعة أرض-سكنى,14,4105000.0,959.032115
19672,2023,2,الربع الثانى,20232,منطقة الرياض,الرياض,الراية,قطعة أرض-سكنى,31,11447000.0,360.97282
19673,2022,3,الربع الثالث,20223,منطقة الرياض,الرياض,الراية,قطعة أرض-سكنى,27,10763500.0,497.078396
19674,2021,4,الربع الرابع,20214,منطقة الرياض,الرياض,الراية,قطعة أرض-سكنى,3,705000.0,
