,yearnumber,quarternumber,quarternamear,quarterid,region_ar,city_ar,district_ar,typecategoryar,deed_counts,RealEstatePrice_SUM,Meter_Price_W_Avg_IQR
792,2022,2,الربع الثانى,20222,منطقة الرياض,الرياض,الأندلس,قطعة أرض-سكنى,25,28598506.85,2733.790573
793,2021,3,الربع الثالث,20213,منطقة الرياض,الرياض,الأندلس,قطعة أرض-سكنى,26,29466672.53,2206.866203
794,2020,4,الربع الرابع,20204,منطقة الرياض,الرياض,الأندلس,قطعة أرض-سكنى,25,22247510.0,1987.558717
795,2020,1,الربع الأول,20201,منطقة الرياض,الرياض,الأندلس,قطعة أرض-سكنى,46,54788122.76,1960.345454
796,2023,1,الربع الأول,20231,منطقة الرياض,الرياض,الأندلس,قطعة أرض-سكنى,20,22764249.45,2302.488065
908,2018,2,الربع الثانى,20182,منطقة الرياض,الرياض,الأندلس,قطعة أرض-سكنى,19,18483577.41,2066.943595
936,2023,2,الربع الثانى,20232,منطقة الرياض,الرياض,الأندلس,قطعة أرض-سكنى,18,29597182.74,2970.585464
946,2022,3,الربع الثالث,20223,منطقة الرياض,الرياض,الأندلس,قطعة أرض-سكنى,23,44033957.45,2374.538563
947,2021,4,الربع الرابع,20214,منطقة الرياض,الرياض,الأندلس,قطعة أرض-سكنى,27,35847218.29,2361.923735
951,2019,2,الربع الثانى,20192,منطقة الرياض,الرياض,الأندلس,قطعة أرض-سكنى,30,30208037.75,1745.257178
952,2018,3,الربع الثالث,20183,منطقة الرياض,الرياض,الأندلس,قطعة أرض-سكنى,34,23800019.7,1408.730692
962,2021,1,الربع الأول,20211,منطقة الرياض,الرياض,الأندلس,قطعة أرض-سكنى,33,40161450.0,2077.843678
963,2023,3,الربع الثالث,20233,منطقة الرياض,الرياض,الأندلس,قطعة أرض-سكنى,18,27746124.88,3142.529489
964,2022,4,الربع الرابع,20224,منطقة الرياض,الرياض,الأندلس,قطعة أرض-سكنى,22,19951505.0,2699.205748
965,2022,1,الربع الأول,20221,منطقة الرياض,الرياض,الأندلس,قطعة أرض-سكنى,25,37726100.0,2676.059636
1047,2023,1,الربع الأول,20231,منطقة الرياض,الرياض,العليا,قطعة أرض-سكنى,32,122845793.87,4294.065228
1048,2022,2,الربع الثانى,20222,منطقة الرياض,الرياض,الناصرية,قطعة أرض-سكنى,3,1170000.0,
1049,2021,3,الربع الثالث,20213,منطقة الرياض,الرياض,الناصرية,قطعة أرض-سكنى,2,4300000.0,
1050,2020,4,الربع الرابع,20204,منطقة الرياض,الرياض,الناصرية,قطعة أرض-سكنى,1,99000.0,
1052,2019,2,الربع الثانى,20192,منطقة الرياض,الرياض,الصحافة,قطعة أرض-سكنى,26,34821645.16,3008.753934
1053,2022,2,الربع الثانى,20222,منطقة الرياض,الرياض,الصحافة,قطعة أرض-سكنى,35,53607482.95,3491.11931
1054,2018,3,الربع الثالث,20183,منطقة الرياض,الرياض,الصحافة,قطعة أرض-سكنى,27,33878340.02,2609.795394
1055,2021,3,الربع الثالث,20213,منطقة الرياض,الرياض,الصحافة,قطعة أرض-سكنى,28,44816803.43,3593.011159
1056,2020,4,الربع الرابع,20204,منطقة الرياض,الرياض,الصحافة,قطعة أرض-سكنى,40,64861590.69,3054.417728
1057,2020,1,الربع الأول,20201,منطقة الرياض,الرياض,الصحافة,قطعة أرض-سكنى,31,54760789.04,2954.19336
1058,2023,1,الربع الأول,20231,منطقة الرياض,الرياض,المصانع,قطعة أرض-سكنى,2,14625000.0,
1102,2020,2,الربع الثانى,20202,منطقة الرياض,الرياض,الأندلس,قطعة أرض-سكنى,35,33068466.42,2044.20769
1103,2019,3,الربع الثالث,20193,منطقة الرياض,الرياض,الأندلس,قطعة أرض-سكنى,34,30883639.25,1829.510914
1104,2018,4,الربع الرابع,20184,منطقة الرياض,الرياض,الأندلس,قطعة أرض-سكنى,29,26202491.65,1812.875421
1105,2018,1,الربع الأول,20181,منطقة الرياض,الرياض,الأندلس,قطعة أرض-سكنى,10,8423535.0,1941.17647
1108,2023,1,الربع الأول,20231,منطقة الرياض,الرياض,الناصرية,قطعة أرض-سكنى,1,280000.0,
1128,2023,3,الربع الثالث,20233,منطقة الرياض,الرياض,العليا,قطعة أرض-سكنى,20,39638977.82,4054.36717
1129,2022,4,الربع الرابع,20224,منطقة الرياض,الرياض,العليا,قطعة أرض-سكنى,39,87290761.34,3797.488867
1130,2022,1,الربع الأول,20221,منطقة الرياض,الرياض,العليا,قطعة أرض-سكنى,38,75239833.0,3430.83018
1138,2021,2,الربع الثانى,20212,منطقة الرياض,الرياض,النظيم,قطعة أرض-سكنى,79,47431589.61,925.798692
1139,2020,3,الربع الثالث,20203,منطقة الرياض,الرياض,النظيم,قطعة أرض-سكنى,69,30203352.27,927.466417
1140,2019,4,الربع الرابع,20194,منطقة الرياض,الرياض,النظيم,قطعة أرض-سكنى,95,49060469.34,828.856293
1141,2019,1,الربع الأول,20191,منطقة الرياض,الرياض,النظيم,قطعة أرض-سكنى,120,54479917.94,782.346932
1142,2018,2,الربع الثانى,20182,منطقة الرياض,الرياض,حطين,قطعة أرض-سكنى,48,122174068.96,2570.025187
1143,2023,1,الربع الأول,20231,منطقة الرياض,الرياض,النظيم,قطعة أرض-سكنى,70,43812937.71,834.035896
1144,2023,3,الربع الثالث,20233,منطقة الرياض,الرياض,الصحافة,قطعة أرض-سكنى,18,33155773.05,4433.9488
1145,2022,4,الربع الرابع,20224,منطقة الرياض,الرياض,الصحافة,قطعة أرض-سكنى,28,56765800.86,5326.034121
1146,2022,1,الربع الأول,20221,منطقة الرياض,الرياض,الصحافة,قطعة أرض-سكنى,40,65907831.05,4010.692196
1151,2019,2,الربع الثانى,20192,منطقة الرياض,الرياض,العليا,قطعة أرض-سكنى,23,29044865.5,2149.852504
1152,2022,2,الربع الثانى,20222,منطقة الرياض,الرياض,العليا,قطعة أرض-سكنى,38,146852370.0,3507.527272
1153,2018,3,الربع الثالث,20183,منطقة الرياض,الرياض,العليا,قطعة أرض-سكنى,10,19362032.13,1990.316286
1154,2021,3,الربع الثالث,20213,منطقة الرياض,الرياض,العليا,قطعة أرض-سكنى,40,124247903.44,3000.126044
1155,2020,4,الربع الرابع,20204,منطقة الرياض,الرياض,العليا,قطعة أرض-سكنى,49,81289779.2,2563.438919
1156,2020,1,الربع الأول,20201,منطقة الرياض,الرياض,العليا,قطعة أرض-سكنى,17,29057010.0,2328.113696
1157,2023,3,الربع الثالث,20233,منطقة الرياض,الرياض,حطين,قطعة أرض-سكنى,14,78169032.24,5847.406255
1158,2022,4,الربع الرابع,20224,منطقة الرياض,الرياض,حطين,قطعة أرض-سكنى,25,129164218.89,6324.777933
1159,2022,1,الربع الأول,20221,منطقة الرياض,الرياض,حطين,قطعة أرض-سكنى,23,101073354.74,5264.875139
1160,2019,2,الربع الثانى,20192,منطقة الرياض,الرياض,المصانع,قطعة أرض-سكنى,18,34519156.0,640.945027
1161,2022,2,الربع الثانى,20222,منطقة الرياض,الرياض,المصانع,قطعة أرض-سكنى,2,14851248.0,
1162,2018,3,الربع الثالث,20183,منطقة الرياض,الرياض,المصانع,قطعة أرض-سكنى,2,600000.0,
1163,2021,3,الربع الثالث,20213,منطقة الرياض,الرياض,المصانع,قطعة أرض-سكنى,2,1400000.0,
1164,2020,4,الربع الرابع,20204,منطقة الرياض,الرياض,المصانع,قطعة أرض-سكنى,4,5200000.0,
1165,2020,1,الربع الأول,20201,منطقة الرياض,الرياض,المصانع,قطعة أرض-سكنى,7,34001555.5,651.621275
1166,2023,1,الربع الأول,20231,منطقة الرياض,الرياض,ظهرة لبن,قطعة أرض-سكنى,56,52770692.96,2061.168749
1167,2022,2,الربع الثانى,20222,منطقة الرياض,الرياض,عرقة,قطعة أرض-سكنى,30,54881753.46,3662.022482
1168,2020,4,الربع الرابع,20204,منطقة الرياض,الرياض,عرقة,قطعة أرض-سكنى,1,104027.0,
1169,2020,2,الربع الثانى,20202,منطقة الرياض,الرياض,الصحافة,قطعة أرض-سكنى,28,46483029.0,2930.955381
1208,2019,3,الربع الثالث,20193,منطقة الرياض,الرياض,الصحافة,قطعة أرض-سكنى,37,56801818.01,2549.88095
1209,2018,4,الربع الرابع,20184,منطقة الرياض,الرياض,الصحافة,قطعة أرض-سكنى,48,91427107.63,2480.067133
1210,2018,1,الربع الأول,20181,منطقة الرياض,الرياض,الصحافة,قطعة أرض-سكنى,32,36584974.32,2588.362647
1211,2021,2,الربع الثانى,20212,منطقة الرياض,الرياض,العليا,قطعة أرض-سكنى,40,95902779.59,2899.22219
1212,2020,3,الربع الثالث,20203,منطقة الرياض,الرياض,العليا,قطعة أرض-سكنى,13,19615508.0,2495.955577
1213,2019,4,الربع الرابع,20194,منطقة الرياض,الرياض,العليا,قطعة أرض-سكنى,34,49532648.0,2194.717451
1214,2019,1,الربع الأول,20191,منطقة الرياض,الرياض,العليا,قطعة أرض-سكنى,26,37769692.0,1956.497483
1217,2021,2,الربع الثانى,20212,منطقة الرياض,الرياض,الناصرية,قطعة أرض-سكنى,1,160000.0,
1218,2020,3,الربع الثالث,20203,منطقة الرياض,الرياض,الناصرية,قطعة أرض-سكنى,1,370000.0,
1219,2019,4,الربع الرابع,20194,منطقة الرياض,الرياض,الناصرية,قطعة أرض-سكنى,1,400000.0,
1226,2022,2,الربع الثانى,20222,منطقة الرياض,الرياض,ظهرة لبن,قطعة أرض-سكنى,70,54769220.1,1835.14086
1227,2021,3,الربع الثالث,20213,منطقة الرياض,الرياض,ظهرة لبن,قطعة أرض-سكنى,31,17767471.08,1609.488825
1228,2020,4,الربع الرابع,20204,منطقة الرياض,الرياض,ظهرة لبن,قطعة أرض-سكنى,28,16505990.22,1587.420467
1229,2020,1,الربع الأول,20201,منطقة الرياض,الرياض,ظهرة لبن,قطعة أرض-سكنى,30,16931064.39,1388.007601
1230,2022,2,الربع الثانى,20222,منطقة الرياض,الرياض,غبيرا,قطعة أرض-سكنى,16,3561000.0,1222.01537
1231,2020,1,الربع الأول,20201,منطقة الرياض,الرياض,غبيرا,قطعة أرض-سكنى,1,15500.0,
1232,2023,2,الربع الثانى,20232,منطقة الرياض,الرياض,الناصرية,قطعة أرض-سكنى,5,4132128.0,
1233,2021,1,الربع الأول,20211,منطقة الرياض,الرياض,الناصرية,قطعة أرض-سكنى,2,4400000.0,
1260,2019,2,الربع الثانى,20192,منطقة الرياض,الرياض,ظهرة لبن,قطعة أرض-سكنى,62,43603518.72,1480.946291
1261,2018,3,الربع الثالث,20183,منطقة الرياض,الرياض,ظهرة لبن,قطعة أرض-سكنى,51,24618243.58,1168.069869
1262,2023,2,الربع الثانى,20232,منطقة الرياض,الرياض,العليا,قطعة أرض-سكنى,33,91382473.54,3847.740194
1263,2022,3,الربع الثالث,20223,منطقة الرياض,الرياض,العليا,قطعة أرض-سكنى,23,72199000.0,3705.837154
1264,2021,4,الربع الرابع,20214,منطقة الرياض,الرياض,العليا,قطعة أرض-سكنى,41,90844145.08,3138.149146
1265,2021,1,الربع الأول,20211,منطقة الرياض,الرياض,العليا,قطعة أرض-سكنى,53,86815616.0,2920.735293
1266,2022,4,الربع الرابع,20224,منطقة الرياض,الرياض,المصانع,قطعة أرض-سكنى,1,2411482.0,
1267,2022,1,الربع الأول,20221,منطقة الرياض,الرياض,المصانع,قطعة أرض-سكنى,9,56980375.0,1004.830368
1268,2023,1,الربع الأول,20231,منطقة الرياض,الرياض,الصحافة,قطعة أرض-سكنى,22,57819463.73,4925.636749
1286,2023,3,الربع الثالث,20233,منطقة الرياض,الرياض,الناصرية,قطعة أرض-سكنى,2,2350000.0,
1287,2022,4,الربع الرابع,20224,منطقة الرياض,الرياض,الناصرية,قطعة أرض-سكنى,2,1234640.0,
1288,2022,1,الربع الأول,20221,منطقة الرياض,الرياض,الناصرية,قطعة أرض-سكنى,5,4800000.0,
1297,2021,2,الربع الثانى,20212,منطقة الرياض,الرياض,الأندلس,قطعة أرض-سكنى,28,29570490.54,2036.910434
1298,2020,3,الربع الثالث,20203,منطقة الرياض,الرياض,الأندلس,قطعة أرض-سكنى,20,21310850.0,1889.282506
1299,2019,4,الربع الرابع,20194,منطقة الرياض,الرياض,الأندلس,قطعة أرض-سكنى,38,36350445.0,1743.425494
1300,2019,1,الربع الأول,20191,منطقة الرياض,الرياض,الأندلس,قطعة أرض-سكنى,55,46119166.8,1790.121581
1301,2023,2,الربع الثانى,20232,منطقة الرياض,الرياض,عرقة,قطعة أرض-سكنى,40,191271807.35,4197.894092
1302,2022,3,الربع الثالث,20223,منطقة الرياض,الرياض,عرقة,قطعة أرض-سكنى,33,58690571.31,4178.585414
1303,2023,1,الربع الأول,20231,منطقة الرياض,الرياض,عرقة,قطعة أرض-سكنى,36,156742146.56,4214.801037
1304,2023,1,الربع الأول,20231,منطقة الرياض,الرياض,غبيرا,قطعة أرض-سكنى,6,1440000.0,1275.964391
1340,2020,3,الربع الثالث,20203,منطقة الرياض,الرياض,المصانع,قطعة أرض-سكنى,1,1307303.0,
1341,2019,4,الربع الرابع,20194,منطقة الرياض,الرياض,المصانع,قطعة أرض-سكنى,12,19939237.6,576.940392
1342,2019,1,الربع الأول,20191,منطقة الرياض,الرياض,المصانع,قطعة أرض-سكنى,9,37897589.0,532.374815
1343,2021,2,الربع الثانى,20212,منطقة الرياض,الرياض,الصحافة,قطعة أرض-سكنى,37,53399422.77,3608.049376
1344,2020,3,الربع الثالث,20203,منطقة الرياض,الرياض,الصحافة,قطعة أرض-سكنى,38,52205132.63,3016.416126
1345,2019,4,الربع الرابع,20194,منطقة الرياض,الرياض,الصحافة,قطعة أرض-سكنى,31,49268350.39,2849.198391
1346,2019,1,الربع الأول,20191,منطقة الرياض,الرياض,الصحافة,قطعة أرض-سكنى,23,44856214.92,3001.562036
1436,2023,2,الربع الثانى,20232,منطقة الرياض,الرياض,حطين,قطعة أرض-سكنى,26,182910942.21,6711.678478
1437,2022,3,الربع الثالث,20223,منطقة الرياض,الرياض,حطين,قطعة أرض-سكنى,32,135953444.95,5235.385185
1438,2021,4,الربع الرابع,20214,منطقة الرياض,الرياض,حطين,قطعة أرض-سكنى,28,134373191.56,4354.131763
1439,2021,1,الربع الأول,20211,منطقة الرياض,الرياض,حطين,قطعة أرض-سكنى,34,187051634.91,3703.786631
1444,2023,3,الربع الثالث,20233,منطقة الرياض,الرياض,ظهرة لبن,قطعة أرض-سكنى,31,27143196.1,1969.719462
1445,2022,4,الربع الرابع,20224,منطقة الرياض,الرياض,ظهرة لبن,قطعة أرض-سكنى,76,72247029.97,2183.585578
1446,2022,1,الربع الأول,20221,منطقة الرياض,الرياض,ظهرة لبن,قطعة أرض-سكنى,56,38375192.9,1793.248316
1447,2023,2,الربع الثانى,20232,منطقة الرياض,الرياض,غبيرا,قطعة أرض-سكنى,12,4964098.0,1708.504856
1448,2022,3,الربع الثالث,20223,منطقة الرياض,الرياض,غبيرا,قطعة أرض-سكنى,7,1130000.0,1332.326076
1449,2018,1,الربع الأول,20181,منطقة الرياض,الرياض,غبيرا,قطعة أرض-سكنى,1,190000.0,
1466,2022,2,الربع الثانى,20222,منطقة الرياض,الرياض,حطين,قطعة أرض-سكنى,38,107324138.75,4676.897851
1467,2021,3,الربع الثالث,20213,منطقة الرياض,الرياض,حطين,قطعة أرض-سكنى,34,132739100.0,4604.299373
1468,2020,4,الربع الرابع,20204,منطقة الرياض,الرياض,حطين,قطعة أرض-سكنى,42,109642414.0,3207.038169
1469,2020,1,الربع الأول,20201,منطقة الرياض,الرياض,حطين,قطعة أرض-سكنى,49,191416255.15,3208.688254
1470,2023,2,الربع الثانى,20232,منطقة الرياض,الرياض,الصحافة,قطعة أرض-سكنى,22,61640309.91,5696.348581
1471,2022,3,الربع الثالث,20223,منطقة الرياض,الرياض,الصحافة,قطعة أرض-سكنى,27,52040551.2,4177.286027
1472,2021,4,الربع الرابع,20214,منطقة الرياض,الرياض,الصحافة,قطعة أرض-سكنى,25,45334617.09,4128.97054
1473,2021,1,الربع الأول,20211,منطقة الرياض,الرياض,الصحافة,قطعة أرض-سكنى,52,137485408.06,3324.524519
1685,2023,2,الربع الثانى,20232,منطقة الرياض,الرياض,ظهرة لبن,قطعة أرض-سكنى,35,45232801.95,2055.640843
1686,2022,3,الربع الثالث,20223,منطقة الرياض,الرياض,ظهرة لبن,قطعة أرض-سكنى,92,100024842.12,2016.792059
1687,2021,4,الربع الرابع,20214,منطقة الرياض,الرياض,ظهرة لبن,قطعة أرض-سكنى,36,32997034.16,1739.061783
1688,2021,1,الربع الأول,20211,منطقة الرياض,الرياض,ظهرة لبن,قطعة أرض-سكنى,56,32314044.74,1483.578777
1689,2019,2,الربع الثانى,20192,منطقة الرياض,الرياض,النظيم,قطعة أرض-سكنى,88,47759741.92,786.805379
1690,2022,2,الربع الثانى,20222,منطقة الرياض,الرياض,النظيم,قطعة أرض-سكنى,55,49268304.51,1391.541197
1725,2018,3,الربع الثالث,20183,منطقة الرياض,الرياض,النظيم,قطعة أرض-سكنى,62,26715123.94,683.529923
1726,2021,3,الربع الثالث,20213,منطقة الرياض,الرياض,النظيم,قطعة أرض-سكنى,85,48167252.43,1001.154055
1727,2020,4,الربع الرابع,20204,منطقة الرياض,الرياض,النظيم,قطعة أرض-سكنى,118,42036861.0,828.162483
1728,2020,1,الربع الأول,20201,منطقة الرياض,الرياض,النظيم,قطعة أرض-سكنى,110,67250441.38,935.382147
1729,2023,3,الربع الثالث,20233,منطقة الرياض,الرياض,النظيم,قطعة أرض-سكنى,237,104545977.18,1135.171951
1730,2022,4,الربع الرابع,20224,منطقة الرياض,الرياض,النظيم,قطعة أرض-سكنى,47,30027146.0,1360.015791
1731,2022,1,الربع الأول,20221,منطقة الرياض,الرياض,النظيم,قطعة أرض-سكنى,95,63273318.65,1076.686758
1732,2020,2,الربع الثانى,20202,منطقة الرياض,الرياض,حطين,قطعة أرض-سكنى,67,249246945.0,3535.849798
1733,2019,3,الربع الثالث,20193,منطقة الرياض,الرياض,حطين,قطعة أرض-سكنى,65,159065720.24,2714.095696
1734,2018,4,الربع الرابع,20184,منطقة الرياض,الرياض,حطين,قطعة أرض-سكنى,58,96242623.48,2356.534046
1735,2018,1,الربع الأول,20181,منطقة الرياض,الرياض,حطين,قطعة أرض-سكنى,41,78190280.27,2850.453103
1736,2019,2,الربع الثانى,20192,منطقة الرياض,الرياض,حطين,قطعة أرض-سكنى,52,137881293.72,2561.014644
1737,2018,3,الربع الثالث,20183,منطقة الرياض,الرياض,حطين,قطعة أرض-سكنى,35,71958544.31,2174.171797
1738,2023,1,الربع الأول,20231,منطقة الرياض,الرياض,حطين,قطعة أرض-سكنى,19,89346583.13,7647.067644
1739,2018,2,الربع الثانى,20182,منطقة الرياض,الرياض,ظهرة لبن,قطعة أرض-سكنى,39,20535386.0,1153.282787
1740,2021,2,الربع الثانى,20212,منطقة الرياض,الرياض,ظهرة لبن,قطعة أرض-سكنى,43,29513895.79,1625.47839
1741,2020,3,الربع الثالث,20203,منطقة الرياض,الرياض,ظهرة لبن,قطعة أرض-سكنى,28,13883859.96,1140.238353
1742,2019,4,الربع الرابع,20194,منطقة الرياض,الرياض,ظهرة لبن,قطعة أرض-سكنى,43,21959683.97,1327.471024
1743,2019,1,الربع الأول,20191,منطقة الرياض,الرياض,ظهرة لبن,قطعة أرض-سكنى,71,43620339.66,1136.980229
1762,2020,2,الربع الثانى,20202,منطقة الرياض,الرياض,العليا,قطعة أرض-سكنى,26,45779575.0,2190.43806
1763,2019,3,الربع الثالث,20193,منطقة الرياض,الرياض,العليا,قطعة أرض-سكنى,26,31373753.32,2238.206414
1764,2018,4,الربع الرابع,20184,منطقة الرياض,الرياض,العليا,قطعة أرض-سكنى,19,21436902.01,2324.032656
1765,2018,1,الربع الأول,20181,منطقة الرياض,الرياض,العليا,قطعة أرض-سكنى,19,18958715.0,1759.693596
1766,2018,2,الربع الثانى,20182,منطقة الرياض,الرياض,النظيم,قطعة أرض-سكنى,59,27210492.24,718.092276
6660,2018,2,الربع الثانى,20182,منطقة الرياض,الرياض,العليا,قطعة أرض-سكنى,14,17995608.0,2099.95674
6661,2021,2,الربع الثانى,20212,منطقة الرياض,الرياض,حطين,قطعة أرض-سكنى,25,139681015.19,4122.189568
6662,2020,3,الربع الثالث,20203,منطقة الرياض,الرياض,حطين,قطعة أرض-سكنى,30,82395557.33,3166.103978
6663,2019,4,الربع الرابع,20194,منطقة الرياض,الرياض,حطين,قطعة أرض-سكنى,36,105821495.06,2908.609853
6664,2019,1,الربع الأول,20191,منطقة الرياض,الرياض,حطين,قطعة أرض-سكنى,70,127372402.98,2389.643213
6665,2023,2,الربع الثانى,20232,منطقة الرياض,الرياض,النظيم,قطعة أرض-سكنى,106,65015258.72,936.850805
6666,2022,3,الربع الثالث,20223,منطقة الرياض,الرياض,النظيم,قطعة أرض-سكنى,49,31254590.15,1059.09991
6667,2021,4,الربع الرابع,20214,منطقة الرياض,الرياض,النظيم,قطعة أرض-سكنى,69,50208512.97,1000.563636
6668,2021,1,الربع الأول,20211,منطقة الرياض,الرياض,النظيم,قطعة أرض-سكنى,118,57862753.24,760.920094
6669,2023,3,الربع الثالث,20233,منطقة الرياض,الرياض,عرقة,قطعة أرض-سكنى,18,36171776.34,4375.282653
6670,2022,4,الربع الرابع,20224,منطقة الرياض,الرياض,عرقة,قطعة أرض-سكنى,44,89137992.21,4157.63648
6671,2022,1,الربع الأول,20221,منطقة الرياض,الرياض,عرقة,قطعة أرض-سكنى,1,1100000.0,
9457,2018,2,الربع الثانى,20182,منطقة الرياض,الرياض,الصحافة,قطعة أرض-سكنى,35,43984396.1,2550.247513
9458,2020,2,الربع الثانى,20202,منطقة الرياض,الرياض,المصانع,قطعة أرض-سكنى,4,4884000.0,
9459,2023,2,الربع الثانى,20232,منطقة الرياض,الرياض,المصانع,قطعة أرض-سكنى,1,3200000.0,
9460,2019,3,الربع الثالث,20193,منطقة الرياض,الرياض,المصانع,قطعة أرض-سكنى,18,82319137.28,605.697018
9461,2022,3,الربع الثالث,20223,منطقة الرياض,الرياض,المصانع,قطعة أرض-سكنى,3,65991678.0,
9462,2021,4,الربع الرابع,20214,منطقة الرياض,الرياض,المصانع,قطعة أرض-سكنى,4,2867055.0,
9463,2018,1,الربع الأول,20181,منطقة الرياض,الرياض,المصانع,قطعة أرض-سكنى,1,233333.0,
9464,2021,1,الربع الأول,20211,منطقة الرياض,الرياض,المصانع,قطعة أرض-سكنى,9,23918062.5,733.333333
9465,2020,2,الربع الثانى,20202,منطقة الرياض,الرياض,النظيم,قطعة أرض-سكنى,58,27573033.77,846.304963
9466,2019,3,الربع الثالث,20193,منطقة الرياض,الرياض,النظيم,قطعة أرض-سكنى,78,137142101.86,813.825093
9576,2018,4,الربع الرابع,20184,منطقة الرياض,الرياض,النظيم,قطعة أرض-سكنى,115,53039996.97,741.501317
9577,2018,1,الربع الأول,20181,منطقة الرياض,الرياض,النظيم,قطعة أرض-سكنى,71,43769034.88,461.846328
9578,2020,2,الربع الثانى,20202,منطقة الرياض,الرياض,ظهرة لبن,قطعة أرض-سكنى,27,12027313.0,1270.559916
9579,2019,3,الربع الثالث,20193,منطقة الرياض,الرياض,ظهرة لبن,قطعة أرض-سكنى,47,24880834.0,1278.474736
9580,2018,4,الربع الرابع,20184,منطقة الرياض,الرياض,ظهرة لبن,قطعة أرض-سكنى,111,56587724.18,1118.857539
9581,2018,1,الربع الأول,20181,منطقة الرياض,الرياض,ظهرة لبن,قطعة أرض-سكنى,71,35559503.0,1034.404624
9582,2023,3,الربع الثالث,20233,منطقة الرياض,الرياض,غبيرا,قطعة أرض-سكنى,10,3105000.0,1936.897458
9583,2022,4,الربع الرابع,20224,منطقة الرياض,الرياض,غبيرا,قطعة أرض-سكنى,14,2587610.0,1006.485084
10306,2021,2,الربع الثانى,20212,منطقة الرياض,الرياض,أحد,قطعة أرض-سكنى,14,9573105.0,772.176072
10307,2020,3,الربع الثالث,20203,منطقة الرياض,الرياض,أحد,قطعة أرض-سكنى,17,8461781.18,826.857531
10308,2019,4,الربع الرابع,20194,منطقة الرياض,الرياض,أحد,قطعة أرض-سكنى,44,20593826.0,941.567724
10309,2019,1,الربع الأول,20191,منطقة الرياض,الرياض,أحد,قطعة أرض-سكنى,74,27707235.59,651.417279
10349,2023,3,الربع الثالث,20233,منطقة الرياض,الرياض,أحد,قطعة أرض-سكنى,8,3819918.67,909.360659
10350,2022,4,الربع الرابع,20224,منطقة الرياض,الرياض,أحد,قطعة أرض-سكنى,16,7912510.0,1025.920472
10351,2022,1,الربع الأول,20221,منطقة الرياض,الرياض,أحد,قطعة أرض-سكنى,12,4974807.84,859.268195
11599,2018,2,الربع الثانى,20182,منطقة الرياض,الرياض,الزهراء,قطعة أرض-سكنى,2,500000.0,
11615,2020,2,الربع الثانى,20202,منطقة الرياض,الرياض,الزهراء,قطعة أرض-سكنى,6,5021434.0,1548.327137
11616,2023,2,الربع الثانى,20232,منطقة الرياض,الرياض,الزهراء,قطعة أرض-سكنى,12,30188712.56,2173.414296
11617,2019,3,الربع الثالث,20193,منطقة الرياض,الرياض,الزهراء,قطعة أرض-سكنى,6,4206718.0,1627.008338
11618,2022,3,الربع الثالث,20223,منطقة الرياض,الرياض,الزهراء,قطعة أرض-سكنى,4,9847528.97,
11619,2018,4,الربع الرابع,20184,منطقة الرياض,الرياض,الزهراء,قطعة أرض-سكنى,7,4801000.0,1850.0
11627,2019,2,الربع الثانى,20192,منطقة الرياض,الرياض,التعاون,قطعة أرض-سكنى,10,10340605.19,2851.939924
11628,2018,3,الربع الثالث,20183,منطقة الرياض,الرياض,التعاون,قطعة أرض-سكنى,20,24688105.25,2396.400128
11634,2023,3,الربع الثالث,20233,منطقة الرياض,الرياض,التعاون,قطعة أرض-سكنى,2,6170000.0,
11635,2022,4,الربع الرابع,20224,منطقة الرياض,الرياض,التعاون,قطعة أرض-سكنى,11,35288750.0,4472.989635
11636,2022,1,الربع الأول,20221,منطقة الرياض,الرياض,التعاون,قطعة أرض-سكنى,14,26024062.77,4133.564013
11637,2021,4,الربع الرابع,20214,منطقة الرياض,الرياض,الزهراء,قطعة أرض-سكنى,3,3000000.0,
11638,2018,1,الربع الأول,20181,منطقة الرياض,الرياض,الزهراء,قطعة أرض-سكنى,3,2700000.0,
11639,2021,1,الربع الأول,20211,منطقة الرياض,الرياض,الزهراء,قطعة أرض-سكنى,11,8471617.0,2011.5896
11640,2023,2,الربع الثانى,20232,منطقة الرياض,الرياض,التعاون,قطعة أرض-سكنى,10,22020021.55,5399.906697
11641,2022,3,الربع الثالث,20223,منطقة الرياض,الرياض,التعاون,قطعة أرض-سكنى,16,24877934.15,3247.197881
11642,2021,4,الربع الرابع,20214,منطقة الرياض,الرياض,التعاون,قطعة أرض-سكنى,13,21087707.0,4018.00991
11643,2021,1,الربع الأول,20211,منطقة الرياض,الرياض,التعاون,قطعة أرض-سكنى,21,34662988.03,3190.796563
12294,2023,2,الربع الثانى,20232,منطقة الرياض,الرياض,المربع,قطعة أرض-سكنى,7,15845572.0,1609.621761
12295,2022,3,الربع الثالث,20223,منطقة الرياض,الرياض,المربع,قطعة أرض-سكنى,2,7593500.0,
12296,2021,4,الربع الرابع,20214,منطقة الرياض,الرياض,المربع,قطعة أرض-سكنى,3,2480100.21,
12581,2023,2,الربع الثانى,20232,منطقة الرياض,الرياض,أحد,قطعة أرض-سكنى,5,2665000.0,
12582,2022,3,الربع الثالث,20223,منطقة الرياض,الرياض,أحد,قطعة أرض-سكنى,10,5520139.53,1165.514707
12583,2021,4,الربع الرابع,20214,منطقة الرياض,الرياض,أحد,قطعة أرض-سكنى,7,3295318.0,1188.170965
