,front,rooms,lounges,bathrooms,streetWidth,stairs,propertyAge,driverRoom,tent,patio,kitchen,outdoorRoom,garage,duplex,space,apartments,maidRoom,elevator,furnihsed,pool,basement,neighbourhood,location,price,square price
1938,غربية,5,1,5,15.0,1,0,0,0,0,1,0,0,0,275,1,0,0,0,0,0,الرمال,شرق الرياض,1400000.0,5090.909091
1939,جنوبية,5,1,5,20.0,0,0,0,0,1,1,0,1,1,250,0,1,1,0,0,0,العارض,شمال الرياض,2200000.0,8800.0
1940,جنوبية غربية,5,3,5,15.0,1,9,1,0,1,1,1,1,0,750,0,1,0,0,1,1,الياسمين,شمال الرياض,6450000.0,8600.0
1941,غربية,4,2,5,20.0,1,0,1,0,0,1,0,1,0,276,1,1,0,0,0,0,العارض,شمال الرياض,2400000.0,8695.652174
1942,غربية,4,2,3,15.0,1,0,1,0,0,1,0,1,1,210,0,1,0,0,0,0,العارض,شمال الرياض,2250000.0,10714.28571
1943,شمالية شرقية,5,3,5,20.0,1,0,1,0,1,1,1,1,0,700,0,1,1,0,1,0,الملقا,شمال الرياض,8100000.0,11571.42857
1944,غربية,5,4,5,18.0,1,0,1,0,1,1,1,1,0,420,0,1,1,0,1,0,الملقا,شمال الرياض,5700000.0,13571.42857
1945,جنوبية,5,2,5,15.0,1,0,0,0,1,1,0,1,1,200,0,1,0,0,0,0,طويق,غرب الرياض,980000.0,4900.0
1947,جنوبية,4,2,4,20.0,0,2,0,0,0,1,0,0,0,400,2,0,0,0,0,0,القادسية,شرق الرياض,2500000.0,6250.0
1948,شرقية,5,1,5,5.0,1,0,0,0,0,1,0,1,0,288,1,0,0,0,0,0,المونسية,شرق الرياض,2000000.0,6944.444444
1949,شمالية شرقية,4,2,3,20.0,0,0,0,1,1,1,1,1,1,200,0,1,0,0,0,0,ظهرة لبن,غرب الرياض,1400000.0,7000.0
1950,جنوبية غربية,4,1,4,28.0,1,0,0,0,0,1,0,0,0,318,0,0,0,0,0,0,عكاظ,جنوب الرياض,1370000.0,4308.176101
1951,شرقية,4,3,5,14.0,1,0,1,0,0,1,0,1,0,300,0,1,1,0,1,0,الياسمين,شمال الرياض,3200000.0,10666.66667
1952,شمالية,3,1,5,16.0,1,0,1,0,1,1,0,1,0,350,2,1,0,0,0,0,المونسية,شرق الرياض,1950000.0,5571.428571
1953,جنوبية شرقية,6,3,5,21.0,1,0,0,1,1,1,0,0,0,312,1,0,0,0,0,0,بدر,جنوب الرياض,1250000.0,4006.410256
1954,شمالية,5,1,5,15.0,1,0,0,1,1,1,1,1,0,312,1,1,0,0,0,0,الحزم,غرب الرياض,1400000.0,4487.179487
1955,جنوبية,3,1,5,15.0,1,0,0,1,0,1,0,1,0,420,1,1,0,0,0,0,بدر,جنوب الرياض,1250000.0,2976.190476
1956,جنوبية,4,3,5,16.0,1,0,0,1,1,1,1,1,0,300,1,1,0,0,0,0,الحزم,غرب الرياض,1350000.0,4500.0
1957,غربية,5,2,5,20.0,1,0,1,0,0,1,1,1,0,700,0,1,1,0,1,0,النرجس,شمال الرياض,7500000.0,10714.28571
1958,شمالية,4,4,4,15.0,0,0,0,1,1,1,1,1,0,200,0,0,1,0,0,0,طويق,غرب الرياض,1000000.0,5000.0
1959,شمالية,5,3,5,21.0,1,0,0,0,1,1,0,1,0,240,0,1,1,0,0,0,المهدية,غرب الرياض,1800000.0,7500.0
1960,غربية,5,3,4,20.0,1,5,1,0,1,1,1,1,0,225,0,1,0,0,0,0,النرجس,شمال الرياض,1800000.0,8000.0
1961,شمالية,5,2,4,20.0,0,0,0,1,1,1,0,1,0,450,0,0,0,0,0,0,ديراب,غرب الرياض,1300000.0,2888.888889
1962,جنوبية شرقية,4,3,5,18.0,1,0,1,0,1,1,1,1,0,415,0,1,1,0,0,0,الملقا,شمال الرياض,5650000.0,13614.45783
1963,شمالية,4,3,4,20.0,0,0,0,1,1,1,1,1,1,300,0,1,0,0,0,0,طويق,غرب الرياض,1200000.0,4000.0
1964,غربية,5,3,4,28.0,0,0,1,0,1,1,1,1,0,700,0,1,1,0,1,0,حطين,شمال الرياض,7000000.0,10000.0
1965,شرقية,4,4,4,20.0,1,0,0,1,1,1,1,1,0,300,0,1,0,0,0,0,Unknown,غرب الرياض,1000000.0,3333.333333
1966,غربية,5,2,5,20.0,1,0,0,1,1,1,1,1,1,200,0,1,0,0,0,0,طويق,غرب الرياض,980000.0,4900.0
1967,جنوبية,5,2,5,20.0,0,0,0,1,1,1,1,1,1,200,0,1,0,1,0,0,طويق,غرب الرياض,990000.0,4950.0
1968,جنوبية,5,2,5,20.0,1,0,0,1,0,1,0,1,1,200,0,1,0,0,0,0,طويق,غرب الرياض,1050000.0,5250.0
1969,شمالية,5,2,5,20.0,0,0,0,1,1,1,1,1,1,200,0,1,0,0,0,0,العريجاء الوسطى,غرب الرياض,930000.0,4650.0
1970,جنوبية شرقية,5,2,5,20.0,1,0,0,1,0,1,0,1,0,408,0,1,0,0,0,0,طويق,غرب الرياض,1300000.0,3186.27451
1971,شرقية,5,5,5,15.0,1,0,0,0,0,1,0,1,0,240,1,1,0,0,0,0,الرمال,شرق الرياض,1350000.0,5625.0
1972,شمالية,3,3,3,20.0,0,7,1,0,1,1,1,1,0,362,4,1,0,0,0,0,الياسمين,شمال الرياض,2700000.0,7458.563536
1973,شمالية,1,3,5,25.0,0,0,0,1,1,1,1,1,1,375,0,1,0,0,0,0,طويق,غرب الرياض,1400000.0,3733.333333
1974,شرقية,5,3,5,20.0,1,0,0,0,1,1,0,1,1,315,0,1,1,0,0,0,النرجس,شمال الرياض,3350000.0,10634.92063
1975,شمالية,5,3,5,15.0,0,0,0,1,1,1,0,1,1,375,0,1,0,0,0,0,Unknown,غرب الرياض,1400000.0,3733.333333
1976,شمالية,3,1,5,20.0,0,4,0,1,1,1,1,1,0,400,2,1,0,0,0,0,طويق,غرب الرياض,1330000.0,3325.0
1977,جنوبية,4,3,3,15.0,1,0,1,0,0,1,1,0,0,360,1,1,1,0,0,0,العارض,شمال الرياض,2800000.0,7777.777778
