,front,rooms,lounges,bathrooms,streetWidth,stairs,propertyAge,driverRoom,tent,patio,kitchen,outdoorRoom,garage,duplex,space,apartments,maidRoom,elevator,furnihsed,pool,basement,neighbourhood,location,price,square price
1978,شرقية,4,2,5,20.0,0,0,0,0,1,1,1,1,0,360,0,0,0,0,0,0,طويق,غرب الرياض,1070000.0,2972.222222
1979,شرقية,5,1,5,20.0,1,0,1,0,0,1,0,1,0,400,0,1,1,0,1,0,النخيل,شمال الرياض,5800000.0,14500.0
1980,شمالية,5,1,3,21.0,1,0,1,1,0,1,0,1,0,300,1,1,0,0,1,0,طويق,غرب الرياض,1430000.0,4766.666667
1981,شرقية,5,1,5,20.0,1,0,0,1,1,1,1,1,1,312,1,1,0,0,0,0,طويق,غرب الرياض,1500000.0,4807.692308
1982,شمالية,5,1,3,18.0,0,0,0,1,1,1,1,1,1,200,0,1,0,0,0,0,طويق,غرب الرياض,980000.0,4900.0
1983,جنوبية غربية,7,2,5,15.0,1,0,0,0,0,1,1,1,0,320,1,0,0,0,0,0,بدر,جنوب الرياض,1080000.0,3375.0
1984,جنوبية شرقية,5,2,5,20.0,1,0,0,1,1,1,1,1,1,312,1,1,0,0,0,0,طويق,غرب الرياض,1490000.0,4775.641026
1985,شمالية,4,3,5,16.0,1,0,1,0,0,1,1,1,0,400,0,1,1,0,1,0,النرجس,شمال الرياض,4400000.0,11000.0
1986,شمالية,4,1,4,18.0,1,0,0,0,1,1,1,1,0,350,0,0,0,0,0,0,المونسية,شرق الرياض,2150000.0,6142.857143
1987,شرقية,4,1,3,20.0,1,0,1,0,0,1,0,1,0,216,0,1,1,0,0,0,المونسية,شرق الرياض,1900000.0,8796.296296
1988,شمالية,4,1,4,20.0,1,0,0,0,1,1,1,1,1,246,0,1,0,0,0,0,السويدي,غرب الرياض,1100000.0,4471.544715
1989,جنوبية,4,3,5,25.0,1,0,0,1,1,1,1,1,0,330,2,1,0,0,1,0,بدر,جنوب الرياض,1180000.0,3575.757576
1990,شمالية,3,4,5,15.0,0,0,1,0,0,1,0,1,0,300,0,1,1,0,0,0,الصحافة,شمال الرياض,3500000.0,11666.66667
1991,جنوبية شرقية,5,3,5,20.0,1,0,0,0,1,1,1,1,0,260,1,1,0,0,0,0,الرمال,شرق الرياض,1500000.0,5769.230769
1992,شرقية,5,1,5,15.0,1,0,0,0,0,1,0,0,1,250,0,0,0,0,0,0,طويق,غرب الرياض,1120000.0,4480.0
1993,شمالية,4,3,5,15.0,1,0,1,0,1,1,1,1,1,330,0,1,1,0,1,0,الياسمين,شمال الرياض,3700000.0,11212.12121
1994,شمالية شرقية,4,2,4,16.0,1,12,1,0,1,1,1,1,0,500,0,1,0,0,0,0,الصحافة,شمال الرياض,3800000.0,7600.0
1995,غربية,4,2,4,15.0,0,0,0,1,1,1,1,1,1,200,0,0,0,0,0,0,طويق,غرب الرياض,1070000.0,5350.0
1996,شمالية,4,3,5,20.0,0,0,0,1,1,1,1,1,0,375,2,1,0,0,0,0,طويق,غرب الرياض,1320000.0,3520.0
1997,شمالية,4,3,4,20.0,1,0,0,0,0,1,1,1,0,375,2,0,0,0,0,0,طويق,غرب الرياض,1600000.0,4266.666667
1998,شمالية,5,3,5,20.0,1,0,0,1,1,1,1,1,1,300,0,1,0,0,1,0,طويق,غرب الرياض,1170000.0,3900.0
1999,شرقية,7,2,5,20.0,1,0,0,1,1,1,0,1,0,390,1,1,0,0,0,0,العزيزية,جنوب الرياض,1400000.0,3589.74359
2000,غربية,5,2,5,15.0,1,15,1,0,1,1,1,1,0,1000,2,1,0,0,1,1,اشبيلية,شرق الرياض,4000000.0,4000.0
2001,جنوبية,5,2,5,15.0,1,0,1,0,1,1,1,1,0,312,1,1,1,0,0,0,المونسية,شرق الرياض,2300000.0,7371.794872
2002,شرقية,5,4,5,16.0,1,0,1,1,1,1,1,1,0,1380,0,1,1,0,1,1,الغدير,شمال الرياض,11500000.0,8333.333333
2003,جنوبية,4,2,4,15.0,1,0,1,0,0,1,1,1,0,387,2,1,0,0,0,0,النهضة,شرق الرياض,2250000.0,5813.953488
2004,جنوبية,5,2,5,15.0,1,0,0,1,1,1,1,1,1,200,0,1,0,0,0,0,طويق,غرب الرياض,1100000.0,5500.0
2005,شمالية,4,2,3,15.0,0,0,0,0,0,1,0,0,0,300,0,0,0,0,0,0,الرمال,شرق الرياض,1600000.0,5333.333333
2006,غربية,4,2,4,20.0,0,0,0,1,1,1,1,1,1,250,0,1,0,0,0,0,المهدية,غرب الرياض,1600000.0,6400.0
2007,جنوبية,5,3,5,16.0,1,0,0,1,0,1,0,1,0,200,0,0,0,0,0,0,طويق,غرب الرياض,980000.0,4900.0
2009,جنوبية غربية,3,1,3,20.0,1,0,1,0,0,1,1,1,0,322,2,1,1,0,0,0,اليرموك,شرق الرياض,2400000.0,7453.416149
